image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.219655618072,0.0665561258793,0.022621685639,0.0357467234135,0.368145108223,0.109182626009,0.0286574307829,0.149434626102
img_00007.jpg,0.367107897997,0.0911356732249,0.00927138142288,0.0316586643457,0.082840256393,0.0715945139527,0.00188317336142,0.344508439302
img_00009.jpg,0.374093443155,0.0599305294454,0.0209500771016,0.031855519861,0.132749050856,0.18048606813,0.10702329874,0.0929119288921
img_00018.jpg,0.31380790472,0.0794288888574,0.0231200177222,0.0571778453887,0.164472669363,0.145015090704,0.0199987776577,0.196978911757
img_00027.jpg,0.265566468239,0.0580078959465,0.0154617000371,0.00992796104401,0.169062465429,0.157048225403,0.116649746895,0.20827549696
img_00030.jpg,0.391647160053,0.0318105109036,0.0104694096372,0.00526110921055,0.233667239547,0.130225032568,0.00701796356589,0.189901590347
img_00040.jpg,0.298055887222,0.0562815777957,0.0106618274003,0.0156158776954,0.125525057316,0.213758245111,0.116762004793,0.163339450955
img_00046.jpg,0.795463621616,0.00344035355374,0.00456128967926,9.34192066779e-05,0.105462685227,0.0363300591707,0.00141547899693,0.0532331541181
img_00053.jpg,0.398987293243,0.0430199429393,0.0712887048721,0.0827990993857,0.0615306980908,0.123213522136,0.00180689292029,0.217353910208
img_00071.jpg,0.296445518732,0.0484263151884,0.0195421930403,0.104521296918,0.170764788985,0.238916262984,0.0498257875443,0.071557790041
img_00075.jpg,0.252317458391,0.0556492544711,0.00384421367198,0.00858103390783,0.243773728609,0.347443193197,0.0071741361171,0.0812169760466
img_00102.jpg,0.301084190607,0.105797439814,0.0109803499654,0.0110684353858,0.103696525097,0.118073917925,0.0804836079478,0.268815517426
img_00103.jpg,0.276382386684,0.185567706823,0.00455268286169,0.00822875835001,0.226224064827,0.14730720222,0.0351653210819,0.116571843624
img_00109.jpg,0.50339370966,0.0127163566649,0.00607217662036,0.00323255872354,0.169797465205,0.162651062012,0.0168267786503,0.125309884548
img_00119.jpg,0.147644102573,0.108816809952,0.00305387866683,0.0223923679441,0.247626230121,0.0827748030424,0.0274003297091,0.360291570425
img_00120.jpg,0.376503169537,0.0864491537213,0.0126415360719,0.0133071159944,0.0971039012074,0.106698431075,0.0543540641665,0.252942711115
img_00125.jpg,0.357655614614,0.139137938619,0.0435905382037,0.0221122987568,0.119761250913,0.123755678535,0.0106061557308,0.183380484581
img_00128.jpg,0.167875796556,0.0296971052885,0.0605661906302,0.00495640095323,0.0259719863534,0.0259537622333,0.000304599059746,0.684674143791
img_00129.jpg,0.319140702486,0.0536826178432,0.00977714825422,0.011452308856,0.136785328388,0.235896155238,0.0990187823772,0.134246900678
img_00133.jpg,0.285540431738,0.0795936957002,0.0216121319681,0.0480461753905,0.209110692143,0.137427657843,0.0438871234655,0.174782142043
img_00138.jpg,0.294988781214,0.135665357113,0.034844763577,0.0285295769572,0.165449038148,0.161700963974,0.0201957114041,0.158625870943
